occupation,mdn_weekly_earnings_total,mdn_weekly_earnings_men,mdn_weekly_earning_women
"Carpet, floor, and tile installers and finishers",981,982,–
"Cement masons, concrete finishers, and terrazzo workers","1,001",999,–
Construction laborers,899,902,–
Construction equipment operators,"1,099","1,097",–
"Drywall installers, ceiling tile installers, and tapers",817,815,–
Electricians,"1,214","1,218",–
Glaziers,–,–,–
Insulation workers,–,–,–
Painters and paperhangers,814,825,–
Pipelayers,–,–,–
"Plumbers, pipefitters, and steamfitters","1,126","1,125",–
Plasterers and stucco masons,–,–,–
Reinforcing iron and rebar workers,–,–,–
Roofers,846,861,–
Sheet metal workers,"1,056","1,038",–
Structural iron and steel workers,–,–,–
Solar photovoltaic installers,–,–,–
"Helpers, construction trades",–,–,–
Construction and building inspectors,"1,212","1,216",–
Elevator and escalator installers and repairers,–,–,–
Fence erectors,–,–,–
Hazardous materials removal workers,–,–,–
Highway maintenance workers,"1,109","1,121",–
Rail-track laying and maintenance equipment operators,–,–,–
Septic tank servicers and sewer pipe cleaners,–,–,–
Miscellaneous construction and related workers,–,–,–
"Derrick, rotary drill, and service unit operators, oil and gas",–,–,–
"Excavating and loading machine and dragline operators, surface mining",–,–,–
"Earth drillers, except oil and gas",–,–,–
"Explosives workers, ordnance handling experts, and blasters",–,–,–
Underground mining machine operators,–,–,–
"Roustabouts, oil and gas",–,–,–
Other extraction workers,–,–,–
"Installation, maintenance, and repair occupations","1,150","1,163",922
"First-line supervisors of mechanics, installers, and repairers","1,382","1,396",–
"Computer, automated teller, and office machine repairers","1,066","1,094",–
Radio and telecommunications equipment installers and repairers,"1,198","1,219",–
Avionics technicians,–,–,–
"Electric motor, power tool, and related repairers",–,–,–
"Electrical and electronics installers and repairers, transportation equipment",–,–,–
"Electrical and electronics repairers, industrial and utility",–,–,–
"Electronic equipment installers and repairers, motor vehicles",–,–,–
Audiovisual equipment installers and repairers,–,–,–
Security and fire alarm systems installers,"1,158","1,170",–
Aircraft mechanics and service technicians,"1,297","1,321",–
Automotive body and related repairers,993,959,–
Automotive glass installers and repairers,–,–,–
Automotive service technicians and mechanics,"1,036","1,031",–
Bus and truck mechanics and diesel engine specialists,"1,135","1,147",–
Heavy vehicle and mobile equipment service technicians and mechanics,"1,272","1,269",–
Small engine mechanics,–,–,–
"Miscellaneous vehicle and mobile equipment mechanics, installers, and repairers",820,826,–
Control and valve installers and repairers,–,–,–
"Heating, air conditioning, and refrigeration mechanics and installers","1,158","1,185",–
Home appliance repairers,–,–,–
Industrial and refractory machinery mechanics,"1,253","1,278",–
"Maintenance and repair workers, general","1,029","1,053",–
"Maintenance workers, machinery",–,–,–
Millwrights,–,–,–
Electrical power-line installers and repairers,"1,482","1,478",–
Telecommunications line installers and repairers,"1,134","1,159",–
Precision instrument and equipment repairers,–,–,–
Wind turbine service technicians,–,–,–
"Coin, vending, and amusement machine servicers and repairers",–,–,–
Commercial divers,–,–,–
Locksmiths and safe repairers,–,–,–
Manufactured building and mobile home installers,–,–,–
Riggers,–,–,–
"Helpers--installation, maintenance, and repair workers",–,–,–
"Other installation, maintenance, and repair workers","1,014","1,093",–
,,,
"Production, transportation, and material moving occupations",891,946,746
Production occupations,922,989,767
First-line supervisors of production and operating workers,"1,253","1,335",982
"Aircraft structure, surfaces, rigging, and systems assemblers",–,–,–
"Electrical, electronics, and electromechanical assemblers",886,912,808
Engine and other machine assemblers,–,–,–
Structural metal fabricators and fitters,–,–,–
Other assemblers and fabricators,866,928,767
Bakers,719,767,669
"Butchers and other meat, poultry, and fish processing workers",836,862,–
"Food and tobacco roasting, baking, and drying machine operators and tenders",–,–,–
Food batchmakers,851,–,–
Food cooking machine operators and tenders,–,–,–
"Food processing workers, all other",813,814,–
Computer numerically controlled tool operators and programmers,"1,118","1,101",–
"Forming machine setters, operators, and tenders, metal and plastic",–,–,–
"Cutting, punching, and press machine setters, operators, and tenders, metal and plastic",–,–,–
"Grinding, lapping, polishing, and buffing machine tool setters, operators, and tenders, metal and plastic",–,–,–
"Other machine tool setters, operators, and tenders, metal and plastic",–,–,–
Machinists,"1,083","1,090",–
